Date,ZHVI,MORTGAGE30US,ZHVI_Lag1,Rate_Lag1,Target_Next_Month_ZHVI
2020-09-01,683722.9303286714,2.89,672893.907895794,2.935,696686.4803620158
2020-10-01,696686.4803620158,2.834,683722.9303286714,2.89,711042.5789248948
2020-11-01,711042.5789248948,2.765,696686.4803620158,2.834,724738.7761660236
2020-12-01,724738.7761660236,2.684,711042.5789248948,2.765,733962.8154924152
2021-01-01,733962.8154924152,2.735,724738.7761660236,2.684,739717.400007614
2021-02-01,739717.400007614,2.81,733962.8154924152,2.735,742915.5908457162
2021-03-01,742915.5908457162,3.0825,739717.400007614,2.81,749740.0922078574
2021-04-01,749740.0922078574,3.06,742915.5908457162,3.0825,759415.8290089102
2021-05-01,759415.8290089102,2.9625,749740.0922078574,3.06,771372.4937536647
2021-06-01,771372.4937536647,2.975,759415.8290089102,2.9625,783119.5809491134
2021-07-01,783119.5809491134,2.868,771372.4937536647,2.975,792107.3716211729
2021-08-01,792107.3716211729,2.8425000000000002,783119.5809491134,2.868,799073.0032729289
2021-09-01,799073.0032729289,2.9,792107.3716211729,2.8425000000000002,805802.2664797116
2021-10-01,805802.2664797116,3.0675,799073.0032729289,2.9,814168.013983429
2021-11-01,814168.013983429,3.0675,805802.2664797116,3.0675,824219.5516762822
2021-12-01,824219.5516762822,3.098,814168.013983429,3.0675,836303.4890644302
2022-01-01,836303.4890644302,3.4450000000000003,824219.5516762822,3.098,850598.8251279248
2022-02-01,850598.8251279248,3.7625,836303.4890644302,3.4450000000000003,866666.63824435
2022-03-01,866666.63824435,4.172,850598.8251279248,3.7625,881241.1970910268
2022-04-01,881241.1970910268,4.9825,866666.63824435,4.172,892698.3110743492
2022-05-01,892698.3110743492,5.2299999999999995,881241.1970910268,4.9825,899157.4365473036
2022-06-01,899157.4365473036,5.522,892698.3110743492,5.2299999999999995,900990.009701361
2022-07-01,900990.009701361,5.4125,899157.4365473036,5.522,897907.3445236938
2022-08-01,897907.3445236938,5.2225,900990.009701361,5.4125,892230.7051610277
2022-09-01,892230.7051610277,6.112,897907.3445236938,5.2225,886952.794450215
2022-10-01,886952.794450215,6.9,892230.7051610277,6.112,883199.4752623778
2022-11-01,883199.4752623778,6.805,886952.794450215,6.9,880067.1580756567
2022-12-01,880067.1580756567,6.364,883199.4752623778,6.805,871753.4623845398
2023-01-01,871753.4623845398,6.2725,880067.1580756567,6.364,860828.179703443
